repo_key,repo_url,true_label,true_label_normalized,method,top1_hit,top3_hit,top5_hit,pred_top1_category,pred_categories_top5,scores_top5,positions_top5
hojunnnnn/board,https://github.com/hojunnnnn/board,서버/백엔드,서버/백엔드,keyword,0,0,1,devops/시스템 엔지니어,devops/시스템 엔지니어 | devops/시스템 엔지니어 | devops/시스템 엔지니어 | SW/솔루션 | 서버/백엔드,0.7059 | 0.6250 | 0.6250 | 0.6000 | 0.5882,"물류시스템 개발 및 운영 채용 | 로봇 관제 시스템 백엔드 개발자 | [프리랜서] 한화토탈에너지스 화학물질 관리시스템 구축 | [프리랜서] 한화생명 디지털 채널 업무운영 | JAVA/JSP, SPRING 개발자"
hojunnnnn/board,https://github.com/hojunnnnn/board,서버/백엔드,서버/백엔드,embedding,0,1,1,웹 풀스택,웹 풀스택 | 프론트엔드 | 서버/백엔드 | SW/솔루션 | 서버/백엔드,0.8416 | 0.8394 | 0.8384 | 0.8368 | 0.8324,풀스택 (Full-stack) 개발자 | [Tech] 웹 프론트엔드 개발자 | 백엔드 개발자 | 웹 서비스 자바 개발자 | 서버 개발자
HSU-README/ReadMeBackend,https://github.com/HSU-README/ReadMeBackend,서버/백엔드,서버/백엔드,keyword,1,1,1,서버/백엔드,서버/백엔드 | QA 엔지니어 | QA 엔지니어 | SW/솔루션 | SW/솔루션,0.5714 | 0.5000 | 0.5000 | 0.5000 | 0.5000,[프리랜서] 한화 노후 ERP장비 교체에 따른 JAVA Version Upgrade | Test Manager (Automotive) | QA (0~3년) | 카메라 모듈 개발 (화질) | 카메라 모듈 개발 (SW)
HSU-README/ReadMeBackend,https://github.com/HSU-README/ReadMeBackend,서버/백엔드,서버/백엔드,embedding,1,1,1,서버/백엔드,서버/백엔드 | 서버/백엔드 | devops/시스템 엔지니어 | 웹 풀스택 | 프론트엔드,0.7885 | 0.7810 | 0.7649 | 0.7629 | 0.7575,Spring 백엔드 개발 (0~3년) | 백엔드 개발자 | 로봇 관제 시스템 백엔드 개발자 | 풀스택 (Full-stack) 개발자 | [Tech] 웹 프론트엔드 개발자
spaniac/Portfolio_Manager_Web,https://github.com/spaniac/Portfolio_Manager_Web,서버/백엔드,서버/백엔드,keyword,0,0,1,SW/솔루션,SW/솔루션 | 블록체인 | SW/솔루션 | 서버/백엔드 | 서버/백엔드,0.5556 | 0.5263 | 0.5263 | 0.5263 | 0.5217,Field Application Engineer | Senior Backend Engineer (블록체인) | Staff Software Engineer (7년 이상) | 백엔드 개발자 | Backend Engineer (Go/Java) - Middle
spaniac/Portfolio_Manager_Web,https://github.com/spaniac/Portfolio_Manager_Web,서버/백엔드,서버/백엔드,embedding,1,1,1,서버/백엔드,서버/백엔드 | 서버/백엔드 | SW/솔루션 | 서버/백엔드 | SW/솔루션,0.7912 | 0.7814 | 0.7757 | 0.7732 | 0.7709,[Kotlin/SpringBoot] 백엔드 개발자 | 경력 개발자(백엔드) 채용 | S/W 개발 (사원 ~ 선임) | 백엔드 개발자 | L4-L7 스위치 가상화 솔루션 개발 경력
YooGyeongMo/CollaB,https://github.com/YooGyeongMo/CollaB,서버/백엔드,서버/백엔드,keyword,1,1,1,서버/백엔드,서버/백엔드 | 서버/백엔드 | SW/솔루션 | 웹 풀스택 | 서버/백엔드,0.7273 | 0.6667 | 0.6667 | 0.6667 | 0.6250,백엔드 경력 채용 (2~5년) | 백엔드 개발자 채용 | [데이터사업팀] Product Engineer | Full-stack Engineer | [코인원] 백엔드개발팀 팀장
YooGyeongMo/CollaB,https://github.com/YooGyeongMo/CollaB,서버/백엔드,서버/백엔드,embedding,1,1,1,서버/백엔드,서버/백엔드 | 서버/백엔드 | 웹 풀스택 | 웹 풀스택 | 프론트엔드,0.7267 | 0.7093 | 0.7089 | 0.7082 | 0.7056,경력 개발자(백엔드) 채용 | 서버 개발자 | 풀스택 (Full-stack) 개발자 | 프론트·백엔드 개발자 채용 | [Tech] 웹 프론트엔드 개발자
Hongsinwon/2022ver_portfolio,https://github.com/Hongsinwon/2022ver_portfolio,프론트엔드,프론트엔드,keyword,0,1,1,개발 PM,개발 PM | 프론트엔드 | 프론트엔드 | 프론트엔드 | 프론트엔드,0.6667 | 0.6000 | 0.5714 | 0.5455 | 0.5455,Next.js - 기획 능력을 겸비한 바이브 코딩 개발자 환영 | [메이크샵] 프론트엔드 개발자 | 웹 프론트엔드 엔지니어 | [Mnet Plus] Frontend Engineer | 프론트엔드 개발자
Hongsinwon/2022ver_portfolio,https://github.com/Hongsinwon/2022ver_portfolio,프론트엔드,프론트엔드,embedding,0,1,1,SW/솔루션,SW/솔루션 | 프론트엔드 | 프론트엔드 | 프론트엔드 | 웹 풀스택,0.7814 | 0.7751 | 0.7683 | 0.7676 | 0.7674,웹개발자 | [Tech] 웹 프론트엔드 개발자 | 프론트엔드 개발자 (사원~과장) | Front-End 개발자 | 풀스택 (Full-stack) 개발자
kimsh322/portfolio-react,https://github.com/kimsh322/portfolio-react,프론트엔드,프론트엔드,keyword,1,1,1,프론트엔드,프론트엔드 | 프론트엔드 | 프론트엔드 | 프론트엔드 | SW/솔루션,0.8571 | 0.6667 | 0.6667 | 0.6667 | 0.6667,웹 프론트엔드 엔지니어 | 프론트엔드 엔지니어 | 프론트엔드 개발자(3~5년) | [NHN Dooray]협업 서비스 프론트엔드 개발 | FE Engineer (Part Lead)
