repo_key,repo_url,true_label,true_label_normalized,method,top1_hit,top3_hit,top5_hit,pred_top1_category,pred_categories_top5,scores_top5,positions_top5
tekyung/Ttakji_lab-mobile_development_dep,https://github.com/tekyung/Ttakji_lab-mobile_development_dep,게임 개발,게임 개발,keyword,0,0,0,devops/시스템 엔지니어,devops/시스템 엔지니어 | SW/솔루션 | devops/시스템 엔지니어 | SW/솔루션 | SW/솔루션,0.7273 | 0.6667 | 0.6667 | 0.6667 | 0.6667,애니메이션 저작 솔루션 시스템 개발자 (유니티 기반) | S/W 소프트웨어 개발 - 경력 | 시스템개발/유지보수(1~3년) | 자동화장비 PC제어 경력(동탄본사) | 비전 검사장비 엔지니어(S/W개발&셋업)
tekyung/Ttakji_lab-mobile_development_dep,https://github.com/tekyung/Ttakji_lab-mobile_development_dep,게임 개발,게임 개발,embedding,1,1,1,게임 클라이언트,게임 클라이언트 | 서버/백엔드 | 프론트엔드 | 프론트엔드 | SW/솔루션,0.6024 | 0.5884 | 0.5865 | 0.5844 | 0.5828,"게임 개발자(1~3년) | LOST ARK Mobile 서버개발 담당 | 프론트엔드 개발자_1~4년 | 프론트 개발 3-5년차 | c#, db 관련 개발자"
tekyung/kyonggi-university_network-system-laboratory_webpage,https://github.com/tekyung/kyonggi-university_network-system-laboratory_webpage,프론트엔드,프론트엔드,keyword,1,1,1,프론트엔드,프론트엔드 | 프론트엔드 | 프론트엔드 | 프론트엔드 | 프론트엔드,0.5714 | 0.5556 | 0.5556 | 0.5333 | 0.5333,프론트엔드 개발자 | 시니어 프론트엔드 개발자 | Frontend Developer | Frontend Engineer (React) | Frontend Engineer(고향사랑기부제)
tekyung/kyonggi-university_network-system-laboratory_webpage,https://github.com/tekyung/kyonggi-university_network-system-laboratory_webpage,프론트엔드,프론트엔드,embedding,0,1,1,웹 풀스택,웹 풀스택 | 프론트엔드 | 프론트엔드 | 웹 풀스택 | 서버/백엔드,0.8387 | 0.8287 | 0.8204 | 0.8200 | 0.8188,웹개발자 | [Tech] 웹 프론트엔드 개발자 | 프론트엔드 개발자 | 풀스택 (Full-stack) 개발자 | [자리톡] Java 백엔드 개발자
siheon012/Deepsentinel,https://github.com/siheon012/Deepsentinel,인공지능/머신러닝,인공지능/머신러닝,keyword,0,0,0,프론트엔드,프론트엔드 | 프론트엔드 | devops/시스템 엔지니어 | 프론트엔드 | 프론트엔드,0.6667 | 0.6364 | 0.6364 | 0.6316 | 0.6316,FE코어팀 프론트엔드 개발자(시니어) | Frontend Engineer(고향사랑기부제) | DevOps 프로젝트 기획자 | 프론트엔드 엔지니어 | 프론트엔드 개발자(3~5년)
siheon012/Deepsentinel,https://github.com/siheon012/Deepsentinel,인공지능/머신러닝,인공지능/머신러닝,embedding,0,0,0,웹 풀스택,웹 풀스택 | 프론트엔드 | 프론트엔드 | 프론트엔드 | 서버/백엔드,0.8336 | 0.8307 | 0.8290 | 0.8245 | 0.8211,프론트·백엔드 개발자 채용 | 프론트엔드 개발자_1~4년 | 프론트엔드 개발자 | 드로잉툴(Front-end) 개발 경력 5년이상 | 경력 개발자(백엔드) 채용
Virtual-Company-Mal-Geum/ai-server,https://github.com/Virtual-Company-Mal-Geum/ai-server,인공지능/머신러닝,인공지능/머신러닝,keyword,0,0,1,SW/솔루션,SW/솔루션 | devops/시스템 엔지니어 | SW/솔루션 | 인공지능/머신러닝 | SW/솔루션,0.6667 | 0.6667 | 0.6667 | 0.6667 | 0.6667,데이터 사이언티스트 | 인프라 데이터센터 매니저 | 데이터 통합 관리 담당자 | [로봇] Physical AI 개발자 | Product Manager
Virtual-Company-Mal-Geum/ai-server,https://github.com/Virtual-Company-Mal-Geum/ai-server,인공지능/머신러닝,인공지능/머신러닝,embedding,0,0,0,서버/백엔드,서버/백엔드 | 서버/백엔드 | 서버/백엔드 | SW/솔루션 | devops/시스템 엔지니어,0.5323 | 0.5255 | 0.5214 | 0.5185 | 0.5122,백엔드 개발자 | 백엔드 경력 채용 (2~5년) | 백엔드 개발자 2년 이상 | 보안 취약점 분석 담당(6년↑) | 카카오/네이버 연계시스템 서버 개발자
jww0108/2026_Cap%20stone,https://github.com/jww0108/2026_Cap%20stone,서버/백엔드,서버/백엔드,keyword,0,0,0,SW/솔루션,SW/솔루션 | devops/시스템 엔지니어 | SW/솔루션 | 인공지능/머신러닝 | SW/솔루션,0.6667 | 0.6667 | 0.6667 | 0.6667 | 0.6667,데이터 사이언티스트 | 인프라 데이터센터 매니저 | 데이터 통합 관리 담당자 | [로봇] Physical AI 개발자 | Product Manager
jww0108/2026_Cap%20stone,https://github.com/jww0108/2026_Cap%20stone,서버/백엔드,서버/백엔드,embedding,1,1,1,서버/백엔드,서버/백엔드 | 서버/백엔드 | 서버/백엔드 | SW/솔루션 | devops/시스템 엔지니어,0.5323 | 0.5255 | 0.5214 | 0.5185 | 0.5122,백엔드 개발자 | 백엔드 경력 채용 (2~5년) | 백엔드 개발자 2년 이상 | 보안 취약점 분석 담당(6년↑) | 카카오/네이버 연계시스템 서버 개발자
honey766/Paint,https://github.com/honey766/Paint,게임 개발,게임 개발,keyword,0,0,0,devops/시스템 엔지니어,devops/시스템 엔지니어 | SW/솔루션 | devops/시스템 엔지니어 | SW/솔루션 | SW/솔루션,0.7273 | 0.6667 | 0.6667 | 0.6667 | 0.6667,애니메이션 저작 솔루션 시스템 개발자 (유니티 기반) | S/W 소프트웨어 개발 - 경력 | 시스템개발/유지보수(1~3년) | 자동화장비 PC제어 경력(동탄본사) | 비전 검사장비 엔지니어(S/W개발&셋업)
